global_step=55975, episodic_return=[-13.401455]
global_step=56190, episodic_return=[-76.57624]
global_step=56400, episodic_return=[-53.541992]
global_step=56440, episodic_return=[-93.5914]
global_step=56570, episodic_return=[-955.184]
global_step=56700, episodic_return=[-24.388206]
global_step=56745, episodic_return=[-896.4723]
global_step=56805, episodic_return=[-16.191326]
global_step=56855, episodic_return=[-41.03734]
global_step=56910, episodic_return=[-54.93985]
global_step=57055, episodic_return=[-51.79216]
global_step=57175, episodic_return=[-957.78534]
global_step=57190, episodic_return=[20.811241]
global_step=57315, episodic_return=[-74.89003]
global_step=57335, episodic_return=[-36.9412]
global_step=57355, episodic_return=[-12.707654]
global_step=57400, episodic_return=[-4.1301384]
global_step=57450, episodic_return=[-10.12141]
global_step=57625, episodic_return=[-156.7244]
global_step=57695, episodic_return=[-19.621887]
global_step=57700, episodic_return=[-64.88019]
global_step=57715, episodic_return=[-62.178696]
global_step=57775, episodic_return=[-95.36173]
global_step=57780, episodic_return=[-7.450095]
global_step=57790, episodic_return=[-5.884472]
global_step=57890, episodic_return=[-13.2590065]
global_step=57930, episodic_return=[-12.256714]
global_step=58035, episodic_return=[-28.509617]
global_step=58050, episodic_return=[-17.464302]
global_step=58220, episodic_return=[-98.36026]
global_step=58255, episodic_return=[-53.27924]
global_step=58325, episodic_return=[-39.636475]
global_step=58360, episodic_return=[-15.283816]
global_step=58420, episodic_return=[-21.062403]
global_step=58480, episodic_return=[-57.447006]
global_step=58580, episodic_return=[-20.230696]
global_step=58670, episodic_return=[-56.692154]
global_step=58780, episodic_return=[-40.783207]
global_step=58800, episodic_return=[-63.699028]
global_step=58900, episodic_return=[-9.189151]
global_step=59095, episodic_return=[-50.17794]
global_step=59210, episodic_return=[-25.23137]
global_step=59775, episodic_return=[-215.55244]
global_step=59950, episodic_return=[-0.8635627]
global_step=60210, episodic_return=[-93.72288]
global_step=60340, episodic_return=[-35.191597]
global_step=60590, episodic_return=[-93.62187]
global_step=60645, episodic_return=[-0.9469221]
global_step=60800, episodic_return=[-6.890189]
global_step=61155, episodic_return=[4.3134284]
global_step=61400, episodic_return=[-929.1008]
global_step=61420, episodic_return=[-41.41441]
SPS: 485
global_step=61625, episodic_return=[-41.466537]
global_step=61845, episodic_return=[-20.364779]
global_step=62060, episodic_return=[-39.360443]
global_step=62295, episodic_return=[-229.276]
global_step=62300, episodic_return=[-36.246117]
global_step=62490, episodic_return=[-34.524673]
global_step=62525, episodic_return=[-9.505339]
global_step=62665, episodic_return=[-36.36312]
global_step=62780, episodic_return=[-20.233719]
global_step=62860, episodic_return=[-24.33607]
global_step=62935, episodic_return=[-27.411993]
global_step=63050, episodic_return=[-976.21967]
global_step=63110, episodic_return=[-14.044719]
global_step=63270, episodic_return=[-150.10664]
global_step=63280, episodic_return=[-58.570095]
global_step=63380, episodic_return=[-31.736797]
global_step=63470, episodic_return=[-55.60064]
global_step=63500, episodic_return=[-37.9524]
global_step=63675, episodic_return=[-114.88995]
global_step=63780, episodic_return=[-823.69745]
global_step=63910, episodic_return=[-37.927296]
global_step=63915, episodic_return=[-13.29823]
global_step=63920, episodic_return=[-83.87729]
global_step=64120, episodic_return=[-53.490967]
global_step=64210, episodic_return=[-985.48376]
global_step=64230, episodic_return=[-83.60881]
global_step=64260, episodic_return=[-22.888094]
global_step=64385, episodic_return=[-40.26212]
global_step=64410, episodic_return=[-254.62775]
global_step=64500, episodic_return=[-69.218956]
global_step=64610, episodic_return=[-36.412]
global_step=64620, episodic_return=[-50.962574]
global_step=64730, episodic_return=[-40.66741]
global_step=64730, episodic_return=[-28.928694]
global_step=64790, episodic_return=[-29.03405]
global_step=64795, episodic_return=[-17.357782]
global_step=64855, episodic_return=[-141.44183]
global_step=64965, episodic_return=[-21.873116]
global_step=65000, episodic_return=[-44.474777]
global_step=65045, episodic_return=[-12.742334]
global_step=65185, episodic_return=[-36.01119]
global_step=65295, episodic_return=[-99.259254]
global_step=65325, episodic_return=[-21.543188]
global_step=65405, episodic_return=[-43.32397]
global_step=65440, episodic_return=[-15.582538]
global_step=65480, episodic_return=[-26.020882]
global_step=65550, episodic_return=[-26.281496]
global_step=65615, episodic_return=[-89.363045]
global_step=65780, episodic_return=[-64.90257]
global_step=65890, episodic_return=[2.297798]
global_step=66040, episodic_return=[-39.575775]
global_step=66180, episodic_return=[-24.414183]
global_step=66245, episodic_return=[-8.37504]
global_step=66260, episodic_return=[-40.525024]
global_step=66330, episodic_return=[-24.390902]
global_step=66405, episodic_return=[-22.672852]
global_step=66500, episodic_return=[-15.062486]
