global_step=13850, episodic_return=[158.42552]
global_step=13900, episodic_return=[81.49602]
global_step=13915, episodic_return=[81.32909]
global_step=13930, episodic_return=[76.332695]
global_step=13930, episodic_return=[81.29264]
global_step=13950, episodic_return=[126.18421]
global_step=14005, episodic_return=[87.40696]
global_step=14025, episodic_return=[112.67056]
global_step=14045, episodic_return=[112.89303]
global_step=14060, episodic_return=[129.582]
global_step=14085, episodic_return=[76.52814]
global_step=14120, episodic_return=[157.88814]
global_step=14130, episodic_return=[81.736725]
global_step=14155, episodic_return=[94.6326]
global_step=14165, episodic_return=[137.84465]
global_step=14200, episodic_return=[115.485245]
global_step=14220, episodic_return=[86.20913]
global_step=14225, episodic_return=[104.64493]
global_step=14240, episodic_return=[81.62724]
global_step=14255, episodic_return=[87.76037]
